chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs31443144	3010274	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs6269442	3492195	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs32285189	3511204	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs258367496	3659804	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs32430919	3777023	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs36251697	3812265	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs30658298	4430623	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs31879829	4518714	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs36742481	4776319	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
1	rs6365999	4820983	0	X	Y	0.263	-2.211261e+00	3.007995e+00	1.000000e-05	4.629946e-01	2	Kruppellikefactor4epithelialzincfingerproteinofgutYamanakafactor
